task_count,avg_runtime_sec,num_instances
7,4.756559937959537e-05,40
8,5.678649540641345e-05,8
9,6.390044695257934e-05,36
11,7.309903175513627e-05,66
21,0.00013254173834519904,42
25,0.00017303771580502923,42
28,0.00016634472861672597,48
29,0.0002232038729874018,56
30,0.0002404287370154634,72
32,0.00026887410058407113,48
35,0.00029500591283847043,56
45,0.0003114781524345744,80
53,0.00035035407490795477,40
58,0.0010133301400401251,128
70,0.0008381558841392689,128
75,0.0019903027288516264,192
83,0.0010664130313671194,128
89,0.0014038552201051544,173
94,0.0011980600978019468,104
111,0.001845877146372325,136
148,0.0031469388684074928,280
297,0.007809272398355041,208
