alpha,instance,n,opt,lm1,lms1,lm2,lm3,lm4,gap_lm1_pct,gap_lms1_pct,gap_lm2_pct,gap_lm3_pct,gap_lm4_pct
0.25,hahn_c=4676.alb,53,4,3,3,0,1,,25.0,25.0,100.0,75.0,
0.25,heskia_c=138.alb,28,8,8,8,5,7,,0.0,0.0,37.5,12.5,
0.25,heskia_c=205.alb,28,5,5,5,2,3,,0.0,0.0,60.0,40.0,
0.25,heskia_c=216.alb,28,5,5,5,1,2,,0.0,0.0,80.0,60.0,
0.25,heskia_c=256.alb,28,4,4,4,0,2,,0.0,0.0,100.0,50.0,
0.25,heskia_c=324.alb,28,4,4,4,0,1,,0.0,0.0,100.0,75.0,
0.25,heskia_c=342.alb,28,3,3,3,0,0,,0.0,0.0,100.0,100.0,
0.25,jaeschke_c=18.alb,9,3,3,3,0,1,,0.0,0.0,100.0,66.66666666666666,
0.25,kilbrid_c=110.alb,45,6,6,6,1,1,,0.0,0.0,83.33333333333334,83.33333333333334,
0.25,kilbrid_c=111.alb,45,5,5,5,0,1,,0.0,0.0,100.0,80.0,
0.25,kilbrid_c=138.alb,45,4,4,4,0,1,,0.0,0.0,100.0,75.0,
0.25,kilbrid_c=184.alb,45,3,3,3,0,0,,0.0,0.0,100.0,100.0,
0.25,kilbrid_c=56.alb,45,10,10,10,2,6,,0.0,0.0,80.0,40.0,
0.25,kilbrid_c=57.alb,45,10,10,10,2,6,,0.0,0.0,80.0,40.0,
0.25,kilbrid_c=62.alb,45,9,9,9,1,4,,0.0,0.0,88.88888888888889,55.55555555555556,
0.25,kilbrid_c=69.alb,45,8,8,8,1,3,,0.0,0.0,87.5,62.5,
0.25,kilbrid_c=79.alb,45,7,7,7,1,2,,0.0,0.0,85.71428571428571,71.42857142857143,
0.25,kilbrid_c=92.alb,45,6,6,6,1,1,,0.0,0.0,83.33333333333334,83.33333333333334,
0.25,lutz1_c=1414.alb,32,11,10,10,2,6,,9.090909090909092,9.090909090909092,81.81818181818183,45.45454545454545,
