alpha,N,avg_gap_lm1_pct,avg_gap_lms1_pct,avg_gap_lm2_pct,avg_gap_lm3_pct,avg_gap_lm4_pct
0.25,230,5.585563047272363,5.585563047272363,65.4516505554269,51.20484507004717,
0.50,267,5.471403268652001,5.471403268652001,62.43183775030291,48.0659386111062,
0.75,269,5.43072369044641,5.43072369044641,62.71115494175047,47.89444464373738,
1.00,269,5.43072369044641,5.43072369044641,62.71115494175047,47.89444464373738,
avg,4,5.479603424204296,5.479603424204296,63.32644954730769,48.76491824215703,
